OID,Max_value,Min_value,Noisy_red,Noisy_blue,Baseline_shift,Negative_uv_slope,QWIP_fail,Suspect
OID_1,0,0,0,0,1,0,0,0
OID_2,0,0,0,0,0,0,0,0
OID_3,0,0,1,0,0,0,0,1
OID_4,0,0,0,0,0,0,0,1
OID_5,0,0,0,0,0,0,0,0
OID_6,0,0,0,0,0,0,0,0
OID_7,0,0,1,0,0,0,0,1
OID_8,0,0,1,0,0,0,0,1
OID_9,0,0,0,0,0,0,0,0
OID_10,0,0,0,0,0,0,0,0
OID_11,0,0,0,0,0,0,0,0
OID_12,0,0,0,0,0,0,0,0
OID_13,0,0,0,0,0,0,0,0
OID_14,0,0,0,0,0,0,0,0
OID_15,0,0,0,0,0,0,0,0
OID_16,0,0,0,0,0,0,0,0
OID_17,0,0,0,0,0,0,0,0
OID_18,0,0,0,0,0,0,0,0
OID_19,0,0,0,0,0,0,0,0
OID_20,0,0,0,0,0,0,0,0
OID_21,0,0,0,0,0,0,0,0
OID_22,0,0,0,0,0,0,0,0
OID_23,0,0,0,0,0,0,0,0
OID_24,0,0,0,0,0,0,0,0
OID_25,0,0,0,0,0,0,0,0
OID_26,0,0,1,0,0,0,0,1
OID_27,0,0,0,0,0,0,0,1
OID_28,0,0,0,0,0,0,0,0
OID_29,0,0,0,0,0,0,0,0
OID_30,0,0,0,0,0,0,0,0
OID_31,0,0,0,0,0,0,0,0
OID_32,0,0,0,0,0,0,0,0
OID_33,0,0,0,0,0,0,0,0
OID_34,0,0,0,0,0,0,0,0
OID_35,0,0,0,0,0,0,0,0
OID_36,0,0,0,0,0,0,0,0
OID_37,0,0,0,0,0,0,0,0
OID_38,0,0,0,0,0,0,0,0
OID_39,0,0,0,0,0,0,0,0
OID_40,0,0,0,0,0,0,0,0
OID_41,0,0,0,0,0,0,0,0
OID_42,0,0,0,0,0,0,0,0
OID_43,0,0,0,0,0,0,0,0
OID_44,0,0,0,0,0,0,0,0
OID_45,0,0,0,0,0,0,0,0
OID_46,0,0,0,0,0,0,0,0
OID_47,0,0,0,0,0,0,0,0
OID_48,0,0,0,0,0,0,0,0
OID_49,0,0,0,0,0,0,0,0
OID_50,0,0,0,0,0,0,0,0
OID_51,0,0,0,0,0,0,0,0
OID_52,0,0,0,0,0,0,0,0
OID_53,0,0,0,0,0,0,0,0
OID_54,0,0,0,0,0,0,0,0
OID_55,0,0,0,0,0,0,0,0
OID_56,0,0,0,0,0,0,0,0
