OID,HJ2A_1,HJ2A_2,HJ2A_3,HJ2A_4,HJ2A_5
OID_2,0.00444,0.00669,0.00776,0.00213,0.00578
OID_5,0.00574,0.00879,0.00965,0.00188,0.00736
OID_6,0.00545,0.00748,0.00864,0.00385,0.00643
OID_9,0.00551,0.01027,0.01365,0.00233,0.0095
OID_10,0.00362,0.00701,0.01008,0.00273,0.00703
OID_11,0.00512,0.00863,0.01149,0.00594,0.0092
OID_12,0.00525,0.00915,0.01215,0.00364,0.00885
OID_13,0.00451,0.00831,0.01076,0.00226,0.00743
OID_14,0.00352,0.00606,0.00821,0.00186,0.00632
OID_15,0.0033,0.00561,0.00745,0.0014,0.00529
OID_16,0.00159,0.00437,0.00727,0.00103,0.00543
OID_17,0.00832,0.01745,0.02295,0.00499,0.01614
OID_18,0.01045,0.02206,0.02745,0.00488,0.01919
OID_19,0.00266,0.00686,0.01066,0.00299,0.008
OID_20,0.00249,0.00589,0.00902,0.00153,0.00667
OID_21,0.00376,0.00934,0.01296,0.00169,0.00886
OID_22,0.00484,0.01194,0.01657,0.00219,0.01127
OID_23,0.00236,0.00621,0.00841,0.00099,0.00545
OID_24,0.00301,0.00688,0.00897,0.00102,0.00569
OID_25,0.00162,0.00421,0.00654,0.00123,0.00498
OID_28,0.01544,0.02572,0.01561,0.00123,0.00715
OID_29,0.0081,0.0134,0.00805,0.00057,0.00376
OID_30,0.00851,0.01375,0.00802,0.00065,0.00372
OID_31,0.00804,0.01356,0.00795,0.00054,0.00355
OID_32,0.00948,0.01602,0.00895,0.00059,0.00381
OID_33,0.01389,0.02421,0.01264,0.00077,0.0049
OID_34,0.01167,0.02074,0.01078,0.00061,0.00416
OID_35,0.00962,0.01641,0.00925,0.00057,0.0039
OID_36,0.01179,0.02036,0.01075,0.00065,0.00434
OID_37,0.01054,0.01792,0.00962,0.00059,0.00396
OID_38,0.01155,0.02052,0.01055,0.00062,0.00429
OID_39,0.01045,0.0186,0.0092,0.00039,0.00368
OID_40,0.00585,0.01001,0.00534,0.00021,0.00224
OID_41,0.01108,0.01914,0.01088,0.0007,0.00486
OID_42,0.0091,0.01543,0.00873,0.00061,0.00398
OID_43,0.00782,0.01283,0.00752,0.00057,0.00349
OID_44,0.00782,0.01323,0.0083,0.00067,0.00401
OID_45,0.00827,0.01399,0.00833,0.00062,0.00388
OID_46,0.00955,0.0168,0.0095,0.00058,0.00404
OID_47,0.01105,0.01997,0.01049,0.00057,0.00408
OID_48,0.01443,0.02652,0.01345,0.00067,0.00496
OID_49,0.00819,0.01455,0.00842,0.00051,0.00367
OID_50,0.0097,0.01795,0.00991,0.00052,0.00389
OID_51,0.00881,0.01492,0.00831,0.00045,0.00361
OID_52,0.01081,0.01907,0.01022,0.00054,0.00412
OID_53,0.01065,0.0181,0.00941,0.0005,0.00354
OID_54,0.01207,0.0206,0.01011,0.00061,0.00388
OID_55,0.01254,0.02187,0.01139,0.00053,0.00447
OID_56,0.01082,0.01828,0.00948,0.00056,0.00395
OID_57,0.01063,0.01829,0.00993,0.00062,0.00428
OID_58,0.01585,0.02961,0.02374,0.00201,0.01172
OID_59,0.01995,0.03517,0.02858,0.00298,0.01545
OID_60,0.04137,0.06973,0.07318,0.01099,0.04957
OID_61,0.0112,0.01982,0.01717,0.00175,0.00918
OID_62,0.01438,0.0249,0.01949,0.00188,0.0102
OID_63,0.0102,0.01615,0.01116,0.00103,0.0054
OID_64,0.00859,0.0173,0.01548,0.001,0.0075
OID_65,0.01929,0.03166,0.02495,0.00262,0.01398
OID_66,0.02727,0.05012,0.04153,0.00361,0.02225
OID_67,0.04311,0.07191,0.06956,0.00851,0.04525
OID_68,0.03522,0.05879,0.04605,0.00488,0.02687
OID_69,0.0243,0.04345,0.02861,0.00246,0.01436
